Ranking,Username,Subscribers,Uploads,Views,Country
1,MrBeast,336M,838,66853633536,US
2,T-Series,281M,22313,2.77243E+11,IN
3,Cocomelon-Nursery Rhymes,186M,1370,1.94362E+11,US
4,Youtube Movies,185M,0,0,US
5,Set India,180M,148727,1.72709E+11,IN
6,Vlad & Niki,129M,796,99291499729,US
7,Kids Diana Show,128M,1282,1.08988E+11,US
8,Like Nastya,124M,918,1.08129E+11,US
9,Music,121M,0,0,US
10,Zee Music Company,112M,12787,72091345721,IN
11,PewDiePie,110M,4800,29453929047,JP
12,WWE,106M,80964,90167179784,US
13,Stokes Twins,102M,335,16139307959,US
14,Goldmines,101M,9421,29936365183,IN
15,Sony SAB,97.7M,94136,1.23173E+11,IN
16,Blackpink,95.4M,603,37502831600,KR
17,ChuChu Tv,94.3M,832,53265415943,IN
18,Gaming,92.9M,0,0,US
19,Zee TV,86.2M,190672,97566987807,IN
20,5-Minute Crafts,81.1M,7391,27907581110,US
21,BANGTANTY,79.4M,2674,24161704347,KR
22,Baby Shark - Pinkfong Kids Song,79.3M,3399,47497893810,US
23,Colors TV,77.6M,179052,76490031656,IN
24,HYBE LABELS,76.2M,2253,37279267924,KR
25,Sports,74.7M,0,0,US
26,Justin Bieber,74.4M,249,33636731466,CA
27,KIMPRO,73.3M,3580,56715455039,KR
28,T-Series Bhakti Sagar,72.6M,29140,37185631965,IN
29,UR.Cristiano,71.7M,80,721228815,PT
30,A4,71.5M,971,31487602900,US
31,Tips Official,71M,6859,43171245557,IN
32,Shemaroo Filmi Gaane,70.3M,8988,30982452123,IN
33,Alan Chikin Chow,70M,1413,48935762064,US
34,ZAMZAM ELECTRONIC TRADING,69.4M,19224,34237265905,AE
35,Aaj Tak,68.7M,415087,35552274523,IN
36,Toys & Colors,68.3M,1396,82391801354,US
37,Canal Kondzilla,67.5M,3014,38923694296,BR
38,El Reino Infantil,67.1M,1667,64042650819,AR
39,Infobells-Hindi,66.8M,731,39661413683,IN
40,Wave Music,63.7M,20481,43980109554,IN
41,EminemMusic,63.4M,196,32256297282,US
42,HAR PAL GEO,62.9M,152148,64184880416,PK
43,MovieClips,62.9M,41711,64184220639,US
44,Sony Music India,62.9M,5941,32518871280,IN
45,YRF,62.9M,4333,44702357371,IN
46,KL BRO Biju R ithvik,62.8M,2873,54385171265,IN
47,Mark Rober,60.8M,187,8956227211,US
48,Dude Perfect,60.6M,463,18005895732,US
49,Taylor Swift,60.4M,285,37663171636,US
50,Fede Vigevani,60M,1435,17636583860,MX
51,ARY Digital HD,59.9M,155545,59355707231,PK
52,LooLoo Kids ,59.3M,933,36603603223,US
53,Billion Surprise Toys,57.6M,1221,10602947691,US
54,Marshmello,57.5M,508,16389217605,US
55,YOLO AVENTURAS,56.5M,2655,19763801820,MX
56,Shemaroo ,56.3M,13166,25669598984,IN
57,PANDA BOL,55.9M,1143,25243008251,IT
58,Alejo lgoa,55.9M,1158,20255686758,AR
59,Ed Sheeran,55.6M,538,33424121267,GB
60,Ariana Grande,55.1M,214,27575337685,US
61,shripraashant,53.9M,11966,3237975581,IN
62,Billie Eilish,53.9M,142,17599708994,US
63,Get Movies,53.6M,3468,34460024944,RU
64,Mikecrack,53.4M,2072,19542079629,ES
65,SonyMusicIndiaVEVO,53.2M,3688,33399550869,US
66,mashabearrussian,52.5M,2009,43441258673,RU
67,Jess No Limit,52.5M,2909,6989848318,ID
68,JuegaGerman,51.9M,2264,16190511067,CL
69,Topper Guild,50.8M,1070,21072416955,US
70,ABS-CBN Entertainment,50.8M,234889,56273184883,PH
71,Jiocinema Kids,50.7M,6907,24513826985,IN
72,StarPlus,50.4M,111513,54503268938,IN
73,Saregama Music,50.1M,9550,24191394571,IN
74,LUCCAS NETO - LICCAS TOON,50.1M,3028,29698114509,BR
75,Masha and The Bear,50.1M,1735,30139688172,US
76,BETER BOCUK,49.9M,2915,28035715762,TR
77,Real fools shorts official,49.5M,636,23650395482,IN
78,Bad Bunny,48.5M,157,37198349778,PR
79,Fernanfloo,48.1M,547,10725356823,SV
80,Ricis Official,47.8M,4792,8189252100,ID
81,Ishtar Music,47.6M,4763,21233734157,IN
82,Badabun,47.6M,24021,19894897196,MX
83,shfa2,47.5M,1857,30412148805,AE
84,MrBeast2,47.3M,123,7045045458,US
85,Shakira,47.3M,362,31911521616,CO
86,Anaya Kandhal,47.1M,1921,44774905876,IN
87,shfa ,47.1M,1193,27894173800,AE
88,Felipe Neto,46.9M,5310,18221100236,BR
89,Dushyant Kukreja,46.7M,1334,30036326973,IN
90,ISSEI,46.3M,3201,34528796394,JP
91,ABP NEWS,46.3M,433181,19680955314,IN
92,Maria Clara & JP,46.2M,916,30293144508,BR
93,Alan Walker,46.2M,676,14996804659,NO
94,Kimberly Loaiza,46.1M,314,6893064959,MX
95,MrBeast Gaming,46M,141,8387527043,US
96,Alfredo Larin,46M,1831,39518875780,SV
97,Voce Sabia,46M,1714,8180068059,BR
98,Katy Perry,45.6M,170,27616850074,US
99,Speed Records,45.5M,11880,30587436800,IN
100,Zhong,45.5M,1861,17998163730,US
